Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle,1st Road Class & No
17709,432067,428607,2,07-Jan-09,1805,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,24,Car,
17709,432067,428607,2,07-Jan-09,1805,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,27,Other Vehicle ,
19509,425549,436382,2,07-Jan-09,750,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,41,Pedal cycle,
12009,429298,428264,2,08-Jan-09,847,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,23,Car,
12009,429298,428264,2,08-Jan-09,847,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,54,Car,
13509,425070,437952,1,08-Jan-09,1100,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,71,Bus or coach (17 or more passenger seats),
18409,430859,424436,2,08-Jan-09,830,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,47,Car,
18409,430859,424436,2,08-Jan-09,830,Motorway,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,22,Car,
22709,432517,436673,2,08-Jan-09,830,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,11,Car,
36409,425924,435145,2,08-Jan-09,1656,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,20,Motorcycle over 125cc and up to 500cc,
86809,423618,434131,1,08-Jan-09,1710,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,7,Car,
13009,431503,435127,2,09-Jan-09,819,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,31,Pedal cycle,
15509,440513,448481,2,09-Jan-09,2103,B,Frost / Ice,Darkness: street lights present and lit,Other,Driver,Slight,Male,21,Car,
18009,429771,431652,2,09-Jan-09,1539,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,21,Motorcycle over 50cc and up to 125cc,
18209,422040,443853,1,09-Jan-09,147,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,38,Goods vehicle 3.5 tonnes mgw and under,
19209,429700,432100,3,09-Jan-09,752,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,27,Car,
20009,441206,448780,2,09-Jan-09,750,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,49,Motorcycle over 500cc,
29709,421375,440473,2,09-Jan-09,1550,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,39,Bus or coach (17 or more passenger seats),
29709,421375,440473,2,09-Jan-09,1550,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,79,Bus or coach (17 or more passenger seats),
19609,428572,432995,1,10-Jan-09,740,A,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,17,M/cycle 50cc and under,
22109,431509,432630,3,10-Jan-09,1525,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,23,Car,
22109,431509,432630,3,10-Jan-09,1525,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,25,Car,
22109,431509,432630,3,10-Jan-09,1525,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,54,Car,
47309,429273,430090,2,10-Jan-09,1122,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,48,Car,
20209,443242,439661,1,11-Jan-09,2332,A(M),Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,20,Car,
20509,431914,430363,1,11-Jan-09,210,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,46,Car,
20509,431914,430363,1,11-Jan-09,210,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Female,44,Car,
22609,434345,434354,2,11-Jan-09,1335,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,24,Car,
22609,434345,434354,2,11-Jan-09,1335,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,13,Car,
24409,433753,441992,2,11-Jan-09,1840,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,20,Car,
24409,433753,441992,2,11-Jan-09,1840,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,18,Car,
30009,430226,433202,1,11-Jan-09,158,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,20,Taxi/Private hire car,
23009,438099,431586,1,12-Jan-09,735,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,20,Car,
25009,432151,435283,1,12-Jan-09,1800,B,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,7,Car,
26909,438554,430035,2,12-Jan-09,1915,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,23,Motorcycle over 50cc and up to 125cc,
35509,425747,431487,2,12-Jan-09,1240,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,46,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,
23309,432192,442256,2,13-Jan-09,650,A,Wet / Damp,Darkness: no street lighting,Raining without high winds,Driver,Slight,Female,25,Car,
24709,428956,435470,2,13-Jan-09,1550,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,20,Pedal cycle,
25109,428470,435284,2,13-Jan-09,2130,Unclassified,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,38,Pedal cycle,
26309,426322,428159,2,14-Jan-09,1830,B,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,37,Car,
27209,420436,440143,2,14-Jan-09,712,A,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,38,Car,
29909,428061,435959,2,14-Jan-09,845,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,26,Pedal cycle,
35009,424244,428689,2,14-Jan-09,1737,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,16,M/cycle 50cc and under,
37009,418301,441336,2,14-Jan-09,1753,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Serious,Male,37,Pedal cycle,
78509,426868,437527,2,14-Jan-09,1138,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,23,Car,
78509,426868,437527,2,14-Jan-09,1138,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,56,Car,
224609,427900,439923,1,14-Jan-09,150,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,53,Car,
345809,424579,435155,2,14-Jan-09,1300,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Pedal cycle,
34509,431969,435825,2,15-Jan-09,640,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Female,53,Car,
36909,431404,435026,2,15-Jan-09,1935,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,43,Car,
37209,430459,435623,4,15-Jan-09,740,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Male,16,Car,
37309,427887,440270,2,15-Jan-09,1335,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,75,Pedal cycle,
37409,434107,433901,2,15-Jan-09,910,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,42,Car,
42009,428344,431608,2,15-Jan-09,1330,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,36,Car,
27309,432998,436045,1,16-Jan-09,15,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Serious,Male,38,Motorcycle over 500cc,
30409,430330,433321,2,16-Jan-09,1404,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,25,Bus or coach (17 or more passenger seats),
30409,430330,433321,2,16-Jan-09,1404,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,53,Bus or coach (17 or more passenger seats),
36509,430189,431710,1,16-Jan-09,1338,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,21,Motorcycle over 50cc and up to 125cc,
77009,424351,438774,1,16-Jan-09,630,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,33,Car,
32209,429595,434697,2,17-Jan-09,1215,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,90,Other Vehicle ,
33609,435121,433538,1,17-Jan-09,1115,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,65,Bus or coach (17 or more passenger seats),
34909,434620,441225,2,17-Jan-09,2125,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Slight,Female,18,Car,
34909,434620,441225,2,17-Jan-09,2125,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,23,Car,
34909,434620,441225,2,17-Jan-09,2125,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Female,17,Car,
34909,434620,441225,2,17-Jan-09,2125,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,17,Car,
35909,439996,437096,1,17-Jan-09,1510,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,69,Bus or coach (17 or more passenger seats),
37509,430324,433288,4,17-Jan-09,133,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,19,Car,
39009,431864,429760,2,17-Jan-09,1001,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,39,Goods vehicle 3.5 tonnes mgw and under,
39409,429941,425130,2,17-Jan-09,1505,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,20,Car,
39409,429941,425130,2,17-Jan-09,1505,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,19,Car,
43109,434843,436328,1,17-Jan-09,1742,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,68,Bus or coach (17 or more passenger seats),
47109,432711,434493,1,17-Jan-09,1645,B,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,21,Car,
171309,431607,435248,1,17-Jan-09,1750,A,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,23,Car,
35209,430530,440743,2,18-Jan-09,1825,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,47,Car,
59109,429806,433383,1,18-Jan-09,1510,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,30,Car,
39509,432733,427496,1,19-Jan-09,817,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Male,12,Car,
40909,436189,434322,2,19-Jan-09,1154,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,23,Car,
40909,436189,434322,2,19-Jan-09,1154,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,84,Bus or coach (17 or more passenger seats),
41109,436067,436616,2,19-Jan-09,1800,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,21,Car,
41309,440894,433571,2,19-Jan-09,1655,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver,Slight,Female,55,Car,
42909,424910,439707,2,19-Jan-09,902,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,37,Car,
42909,424910,439707,2,19-Jan-09,902,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,34,Car,
43809,428923,429880,1,19-Jan-09,1715,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Female,61,Car,
44909,423734,434325,3,19-Jan-09,750,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,53,Car,
44909,423734,434325,3,19-Jan-09,750,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Serious,Male,23,Motorcycle over 50cc and up to 125cc,
45409,425537,432762,2,19-Jan-09,1820,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Female,58,Car,
45409,425537,432762,2,19-Jan-09,1820,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,27,Car,
45409,425537,432762,2,19-Jan-09,1820,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,21,Car,
45409,425537,432762,2,19-Jan-09,1820,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,25,Car,
45509,419963,446150,2,19-Jan-09,1500,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,43,Car,
47909,429932,437557,3,19-Jan-09,1848,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,59,Car,
50809,428956,435471,2,19-Jan-09,750,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,23,Car,
50809,428956,435471,2,19-Jan-09,750,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,23,Bus or coach (17 or more passenger seats),
66109,429950,428086,1,19-Jan-09,1029,Unclassified,Wet / Damp,Daylight: street lights present,Snowing without high winds,Passenger,Slight,Male,65,Bus or coach (17 or more passenger seats),
106409,436940,425890,3,19-Jan-09,1328,Motorway,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,19,Car,
112209,426467,435765,1,19-Jan-09,1730,Unclassified,Dry,Darkness: street lighting unknown,Unknown,Pedestrian,Slight,Female,27,Goods vehicle 3.5 tonnes mgw and under,
43009,436158,441823,2,20-Jan-09,848,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,40,Car,
43009,436158,441823,2,20-Jan-09,848,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,28,Car,
45609,420113,434034,2,20-Jan-09,815,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,27,Car,
46809,427551,431985,2,20-Jan-09,800,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,39,Pedal cycle,
50509,421990,433001,1,20-Jan-09,630,B,Frost / Ice,Darkness: street lights present and lit,Other,Driver,Slight,Male,34,Bus or coach (17 or more passenger seats),
72109,428300,444735,1,20-Jan-09,2140,A,Frost / Ice,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,26,Car,
44009,427202,432544,1,21-Jan-09,1030,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,45,Bus or coach (17 or more passenger seats),
45909,431003,430540,1,21-Jan-09,100,Motorway,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,35,Goods vehicle 3.5 tonnes mgw and under,
50009,423424,437621,1,21-Jan-09,1820,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Serious,Male,20,Car,
58109,439119,432454,2,21-Jan-09,715,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,43,Motorcycle over 500cc,
59409,441925,430291,2,21-Jan-09,1855,Unclassified,Wet / Damp,Darkness: street lighting unknown,Other,Driver,Slight,Female,33,Car,
144609,430356,438558,3,21-Jan-09,1425,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,31,Car,
144609,430356,438558,3,21-Jan-09,1425,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,42,Car,
47409,427079,434817,1,22-Jan-09,615,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,52,Car,
52709,440893,448715,2,22-Jan-09,1714,B,Wet / Damp,Darkness: street lights present and lit,Other,Driver,Slight,Female,67,Car,
52709,440893,448715,2,22-Jan-09,1714,B,Wet / Damp,Darkness: street lights present and lit,Other,Driver,Slight,Female,64,Car,
58209,430637,434720,2,22-Jan-09,2000,Unclassified,Dry,Darkness: street lighting unknown,Unknown,Driver,Slight,Male,29,Car,
61409,428824,435224,2,22-Jan-09,1530,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,19,Car,
80209,435518,434819,1,22-Jan-09,1540,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,86,Pedal cycle,
53109,434696,434563,2,23-Jan-09,800,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,47,Car,
54309,424019,438460,2,23-Jan-09,730,Unclassified,Wet / Damp,Darkness: street lighting unknown,Unknown,Driver,Slight,Male,44,Pedal cycle,
57909,433428,433952,1,23-Jan-09,1600,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,5,Car,
58509,428508,442351,1,23-Jan-09,2230,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Female,18,Car,
58709,434063,435140,2,23-Jan-09,722,Unclassified,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,50,Car,
64709,432000,430452,2,23-Jan-09,1330,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,52,Car,
64709,432000,430452,2,23-Jan-09,1330,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,59,Goods vehicle 7.5 tonnes mgw and over,
67609,426354,428164,2,23-Jan-09,1325,B,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,45,Pedal cycle,
67809,429675,432925,3,23-Jan-09,1435,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,26,Car,
67809,429675,432925,3,23-Jan-09,1435,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Car,
67809,429675,432925,3,23-Jan-09,1435,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,43,Car,
67809,429675,432925,3,23-Jan-09,1435,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,37,Car,
67809,429675,432925,3,23-Jan-09,1435,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,29,Car,
124709,430433,433982,2,23-Jan-09,25,A(M),Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,38,Motorcycle over 500cc,
53409,431630,434445,1,24-Jan-09,1148,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,86,Bus or coach (17 or more passenger seats),
57109,422663,432681,2,24-Jan-09,1715,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,42,Car,
59709,428207,426829,1,24-Jan-09,800,A,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,42,Car,
81009,422286,433429,1,24-Jan-09,308,B,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,21,Car,
94709,428502,434530,3,24-Jan-09,1300,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,19,Car,
69409,420347,440465,2,25-Jan-09,1715,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,33,Motorcycle over 500cc,
56609,428458,432960,1,26-Jan-09,1600,B,Dry,Daylight: street lights present,Unknown,Passenger,Slight,Male,45,Bus or coach (17 or more passenger seats),
69109,420142,446596,2,26-Jan-09,845,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,34,Car,
95009,427122,437370,2,26-Jan-09,1510,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,4,Car,
95009,427122,437370,2,26-Jan-09,1510,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,3,Car,
66909,425125,432463,1,27-Jan-09,830,Unclassified,Wet / Damp,Daylight: street lights present,Unknown,Driver,Slight,Male,42,Motorcycle over 50cc and up to 125cc,
68809,431076,431126,1,27-Jan-09,925,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,25,Bus or coach (17 or more passenger seats),
69509,428587,440798,3,27-Jan-09,1755,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Driver,Slight,Female,50,Car,
69509,428587,440798,3,27-Jan-09,1755,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Driver,Serious,Female,42,Car,
69509,428587,440798,3,27-Jan-09,1755,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Driver,Serious,Male,39,Car,
69509,428587,440798,3,27-Jan-09,1755,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,1,Car,
70809,421881,442830,2,27-Jan-09,757,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,36,Car,
70809,421881,442830,2,27-Jan-09,757,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,50,Car,
137209,436133,435569,2,27-Jan-09,840,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,34,Car,
